Protein,Protein Name,Gene Name,Function,ProteinGroup,FastaHeaders,Proteins,Peptides,RazorUniquePeptides,UniquePeptides,Coverage,MolWeight,LFQ intensity C-1,LFQ intensity C-2,LFQ intensity C-3,LFQ intensity T-1,LFQ intensity T-2,LFQ intensity T-3,Identified or Quantified
B4DPW9,"cDNA FLJ51929, highly similar to Plastin-3",,,B4DPW9;A0A0A0MSQ0;Q53GY0;P13797;Q96HI1,"B4DPW9_HUMAN cDNA FLJ51929, highly similar to Plastin-3 OS=Homo sapiens OX=9606 PE=2 SV=1;A0A0A0MSQ0_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=1;Q53GY0_HUMAN Plastin 3 variant (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;PLST_HUMAN Plastin-3 ",5,8,1,1,12.1,67.599,230550000,217210000,258570000,303210000,309530000,215930000,Quantified
A0A0A0MSW4,Phosphatidylinositol transfer protein beta isoform,PITPNB,,A0A0A0MSW4;P48739;B3KYB6;B3KYB7;B2R7P6,A0A0A0MSW4_HUMAN Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=1;PIPNB_HUMAN Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=2;B3KYB6_HUMAN Phosphatidylinositol tra,5,4,4,4,22.9,31.581,11536000,11998000,12725000,11351000,12270000,11717000,Quantified
Q9P1N9,PRO0785,,,Q9P1N9;Q7L4K8;B4DVX2;J3KR24;Q7Z3U5;A0A0A0MSX9;Q59G75;P41252,"Q9P1N9_HUMAN PRO0785 OS=Homo sapiens OX=9606 PE=2 SV=1;Q7L4K8_HUMAN IARS protein (Fragment) OS=Homo sapiens OX=9606 GN=IARS PE=2 SV=1;B4DVX2_HUMAN cDNA FLJ55373, highly similar to Isoleucyl-tRNA synthetase, cytoplasmic OS=Homo sapiens OX=9606 PE=2 SV=1;J3K",8,1,1,1,6.9,39.967,,,,10796000,5353900,,Quantified
B3KRI1,Sodium/potassium-transporting ATPase subunit alpha,,,B3KRI1;M0R116;B1AKY9;A0A2R8YEY8;Q53ES0;B2RAQ4;A0A0S2Z3W6;B7Z9V4;A0A0A0MT26;P13637;P50993;B7Z1Q9;B7Z3F8;B3KX35;B3KV59;H0Y7C1;B4DIQ8;M0QXF2;B4DHD7;A0A0S2Z3D3;B7Z1N5;B3KNQ8;B3KW93;Q58I21;E9PRA5;B3KSY7;Q658V6;Q53FM3;A0A384MR29;Q13733;P20648,B3KRI1_HUMAN Sodium/potassium-transporting ATPase subunit alpha OS=Homo sapiens OX=9606 PE=2 SV=1;M0R116_HUMAN Sodium/potassium-transporting ATPase subunit alpha OS=Homo sapiens OX=9606 GN=ATP1A3 PE=1 SV=1;B1AKY9_HUMAN Sodium/potassium-transporting ATPase ,31,5,1,1,9.2,103.56,,4282300,,,1739900,,Identified
B4DE67,"cDNA FLJ57259, highly similar to Lysosomal acid lipase/cholesteryl esterhydrolase",,,B4DE67;A0A0A0MT32;B3KU19;B3KRG8;A8K2H6;Q6ZUY8;P38571;Q5T073,"B4DE67_HUMAN cDNA FLJ57259, highly similar to Lysosomal acid lipase/cholesteryl esterhydrolase OS=Homo sapiens OX=9606 PE=2 SV=1;A0A0A0MT32_HUMAN Lysosomal acid lipase/cholesteryl ester hydrolase OS=Homo sapiens OX=9606 GN=LIPA PE=1 SV=1;B3KU19_HUMAN cDNA ",8,2,2,2,10.3,23.553,303520000,304720000,392910000,283680000,268580000,249670000,Quantified
A0A0A6YYH1,Protein C15orf38-AP3S2,C15orf38-AP3S2,,A0A0A6YYH1;Q7Z6K5;H0YMP5;H0YL03;H0YMK0;H0YL85,A0A0A6YYH1_HUMAN Protein C15orf38-AP3S2 OS=Homo sapiens OX=9606 GN=C15orf38-AP3S2 PE=4 SV=1;ARPIN_HUMAN Arpin OS=Homo sapiens OX=9606 GN=ARPIN PE=1 SV=1;H0YMP5_HUMAN Arpin OS=Homo sapiens OX=9606 GN=ARPIN PE=1 SV=1;H0YL03_HUMAN Arpin (Fragment) OS=Homo sap,6,2,2,2,6.3,43.881,4112900,,,9502200,,4392000,Quantified
E7EP81,Coronin-7,CORO7,,E7EP81;B4E0F2;I3L167;B3KUH7;B3KSY4;B4DKU9;A0A0A6YYL4;P57737,"E7EP81_HUMAN Coronin-7 OS=Homo sapiens OX=9606 GN=CORO7 PE=1 SV=1;B4E0F2_HUMAN cDNA FLJ58822, highly similar to Coronin-7 OS=Homo sapiens OX=9606 PE=2 SV=1;I3L167_HUMAN Coronin OS=Homo sapiens OX=9606 GN=CORO7-PAM16 PE=3 SV=1;B3KUH7_HUMAN Coronin OS=Homo s",8,1,1,1,3,40.008,3556400,,3512300,,3758000,4503400,Quantified
J7F8K9,MHC class I antigen (Fragment),HLA-A,,J7F8K9;A0A0A7C3U3;A0A0A7C3R4,J7F8K9_HUMAN MHC class I antigen (Fragment) OS=Homo sapiens OX=9606 GN=HLA-A PE=3 SV=1;A0A0A7C3U3_HUMAN MHC class I antigen (Fragment) OS=Homo sapiens OX=9606 GN=HLA-A PE=3 SV=1;A0A0A7C3R4_HUMAN MHC class I antigen (Fragment) OS=Homo sapiens OX=9606 GN=HLA,3,1,1,1,7.2,20.992,4479200,3731200,5505800,4015300,2611000,2655900,Quantified
F2X611,MHC class I antigen (Fragment),HLA-A,,F2X611;F2VNJ2;F2VNJ1;E0WBY8;D7NSN9;D7NP85;D5M8G0;C5IZQ6;C0M144;A0A1S6KJP2;A0A0A7C4Z9;A0A0N9QYZ0;A0A3S6RI04;A0A2I6J4B0,F2X611_HUMAN MHC class I antigen (Fragment) OS=Homo sapiens OX=9606 GN=HLA-A PE=3 SV=1;F2VNJ2_HUMAN MHC class I antigen (Fragment) OS=Homo sapiens OX=9606 GN=HLA-A PE=3 SV=1;F2VNJ1_HUMAN MHC class I antigen (Fragment) OS=Homo sapiens OX=9606 GN=HLA-A PE=3 ,14,1,1,1,7.2,20.891,24028000,18086000,20846000,18231000,15157000,12807000,Quantified
A0A0X7YUA2,MHC class II antigen (Fragment),HLA-DPB1,,A0A0X7YUA2;A0A0N7A593;A0A0G2R178;A0A0G2R142;A0A0E3DDZ2;A0A0A7CAB6;A0A0A7CA29;A0A0A7C6X7;A0A0A7C5Z4;A0A0A7C5E0,A0A0X7YUA2_HUMAN MHC class II antigen (Fragment) OS=Homo sapiens OX=9606 GN=HLA-DPB1 PE=4 SV=1;A0A0N7A593_HUMAN MHC class II antigen (Fragment) OS=Homo sapiens OX=9606 GN=HLA-DPB1 PE=4 SV=1;A0A0G2R178_HUMAN MHC class II antigen (Fragment) OS=Homo sapiens O,10,2,1,1,21.8,10.492,59680000,40732000,46759000,42903000,,48815000,Quantified
A0M8Q9,C1 segment protein (Fragment),C1 segment,,A0M8Q9;Q8TCJ5;P0DOY3;P0DOY2;A0A5H1ZRQ4;Q6PJR7;A0A0B4J231;P0DOX8;Q8N5F4;Q6GMW4;Q8N355;Q7Z2U7;Q6NS95;Q6GMW3;Q6GMV8;Q5CZ94;S6BGD6;Q6PJG0;Q6PIK1;Q6P2J1;Q6IN99;Q6GMW6;Q567P1;A2NUT2;A0A5E4;Q96E61;Q8NEJ1;Q6PIQ7;Q6P5S3;Q6IPQ0;Q6GMX4;Q6GMX3;Q6GMV7;Q6DHW4;P0CG04;P0CF74;B9A064;A0A5H1ZRQ7;S6C4R7;S6BGF9;S6B286;S6AWE6;S6BAR0;S6BAN6;S6C4S2;S6BAP8;S6B2B0;Q5FWF9;A0M8Q6,A0M8Q9_HUMAN C1 segment protein (Fragment) OS=Homo sapiens OX=9606 GN=C1 segment PE=4 SV=1;Q8TCJ5_HUMAN Uncharacterized protein DKFZp667J0810 (Fragment) OS=Homo sapiens OX=9606 GN=DKFZp667J0810 PE=2 SV=1;IGLC3_HUMAN Immunoglobulin lambda constant 3 OS=Homo,49,2,2,2,28.6,11.29,58140000,89114000,80257000,113460000,83541000,62435000,Quantified
F8VV32,Lysozyme,LYZ,Lysozymes have primarily a bacteriolytic function; those in tissues and body fluids are associated with the monocyte-macrophage system and enhance the activity of immunoagents.,F8VV32;A0A0B4J259;B2R4C5;P61626,F8VV32_HUMAN Lysozyme OS=Homo sapiens OX=9606 GN=LYZ PE=1 SV=1;A0A0B4J259_HUMAN Lysozyme OS=Homo sapiens OX=9606 GN=LYZ PE=1 SV=1;B2R4C5_HUMAN Lysozyme OS=Homo sapiens OX=9606 GN=LYZ PE=2 SV=1;LYSC_HUMAN Lysozyme C OS=Homo sapiens OX=9606 GN=LYZ PE=1 SV=1,4,3,3,3,26.9,11.488,921470000,1119500000,966070000,924790000,849280000,753650000,Quantified
H3BPG2,COMM domain-containing protein 4 (Fragment),COMMD4,,H3BPG2;H3BQF2;A0A0B4J287;H3BM91;Q9H0A8,H3BPG2_HUMAN COMM domain-containing protein 4 (Fragment) OS=Homo sapiens OX=9606 GN=COMMD4 PE=1 SV=8;H3BQF2_HUMAN COMM domain-containing protein 4 OS=Homo sapiens OX=9606 GN=COMMD4 PE=1 SV=1;A0A0B4J287_HUMAN COMM domain-containing protein 4 OS=Homo sapiens,5,1,1,1,14,14.584,6872400,5250600,,,5105600,,Quantified
A0A0B4J2A4,"3-ketoacyl-CoA thiolase, mitochondrial",ACAA2,,A0A0B4J2A4;B3KNP8;B2RB23;P42765;K7EME0,"A0A0B4J2A4_HUMAN 3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=1;B3KNP8_HUMAN cDNA FLJ30111 fis, clone BNGH42000360, highly similar to 3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 PE=2 SV=1;B2RB23_HUMAN c",5,2,2,2,5.3,41.601,,17802000,,,,12765000,Identified
K7EM56,40S ribosomal protein S15,RPS15,,K7EM56;A0A0B4J2B4;S4R417;K7ELC2;P62841;K7EQJ5,K7EM56_HUMAN 40S ribosomal protein S15 OS=Homo sapiens OX=9606 GN=RPS15 PE=1 SV=2;A0A0B4J2B4_HUMAN 40S ribosomal protein S15 OS=Homo sapiens OX=9606 GN=RPS15 PE=1 SV=1;S4R417_HUMAN 40S ribosomal protein S15 OS=Homo sapiens OX=9606 GN=RPS15 PE=1 SV=1;K7ELC2,6,2,2,2,33,12.99,,,,42707000,4452500,,Quantified
B4DKJ4,"cDNA FLJ57738, highly similar to Translationally-controlled tumor protein",,,B4DKJ4;A0A0P1J1R0;Q5W0H4;A0A0B4J2C3;P13693;Q9UP43;B4DLD6;J3KPG2;E9PJF7;H0YCX0;A0A024RDY2;Q9NXW1;Q56UQ5,"B4DKJ4_HUMAN cDNA FLJ57738, highly similar to Translationally-controlled tumor protein OS=Homo sapiens OX=9606 PE=2 SV=1;A0A0P1J1R0_HUMAN Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=seTCTP PE=3 SV=1;Q5W0H4_HUMAN Translationally-cont",13,3,3,3,23.9,16.104,33338000,41618000,40952000,44425000,58987000,41022000,Quantified
X5D7S1,Syntaxin 1A isoform B (Fragment),STX1A,,X5D7S1;A0A0C4DFZ1;A8MZ54;Q75ME0;Q16623,X5D7S1_HUMAN Syntaxin 1A isoform B (Fragment) OS=Homo sapiens OX=9606 GN=STX1A PE=2 SV=1;A0A0C4DFZ1_HUMAN Syntaxin-1A OS=Homo sapiens OX=9606 GN=STX1A PE=1 SV=1;A8MZ54_HUMAN Syntaxin-1A OS=Homo sapiens OX=9606 GN=STX1A PE=1 SV=1;Q75ME0_HUMAN STX1A protein ,5,1,1,1,4.4,28.341,33112000,24361000,52207000,30139000,31142000,36396000,Quantified
A0A0C4DGK8,DNA-(apurinic or apyrimidinic site) lyase (Fragment),APEX1,"Initiates repair of AP sites in DNA by catalyzing hydrolytic incision of the phosphodiester backbone immediately adjacent to the damage, generating a single-strand break with 5'-deoxyribose phosphate and 3'-hydroxyl ends.",A0A0C4DGK8;H7C4A8;G3V5M0;G3V359;G3V3C7;G3V5Q1;G3V3M6;Q5TZP7;P27695;G3V5D9,A0A0C4DGK8_HUMAN DNA-(apurinic or apyrimidinic site) lyase (Fragment) OS=Homo sapiens OX=9606 GN=APEX1 PE=1 SV=1;H7C4A8_HUMAN DNA-(apurinic or apyrimidinic site) lyase (Fragment) OS=Homo sapiens OX=9606 GN=APEX1 PE=1 SV=1;G3V5M0_HUMAN DNA-(apurinic or apyr,10,3,3,3,31.5,15.938,45691000,55352000,60495000,58119000,66529000,59097000,Quantified
A0A0C4DGL8,Haptoglobin,HP,,A0A0C4DGL8;J3QR68;H0Y300;P00738;P00739;J3KTC3;H3BS21;Q6PEJ8;B3KP77;Q6NSB4;A0A087WU08;J3QLC9;A0A0A0MRD9,A0A0C4DGL8_HUMAN Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1;J3QR68_HUMAN Haptoglobin (Fragment) OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1;H0Y300_HUMAN Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=4;HPT_HUMAN Haptoglobin OS=Homo sapiens OX=9606 ,13,4,4,4,8.6,38.451,,2538000,,888910,137920000,1142700000,Quantified
A0A0D9SEM9,ATP-dependent RNA helicase DDX39A (Fragment),DDX39A,,A0A0D9SEM9,A0A0D9SEM9_HUMAN ATP-dependent RNA helicase DDX39A (Fragment) OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=1,1,2,1,1,18.8,10.925,29866000,21281000,29702000,25015000,20071000,,Quantified
A0A384P5S9,Epididymis secretory sperm binding protein,,,A0A384P5S9;A0A0D9SF54;A0A0D9SGF6;Q13813;A0A024R889;B4DTV8;B4DGT1;Q9UG16;A0A0D9SFF6;A0A1B0GTB7;Q14917,"A0A384P5S9_HUMAN Epididymis secretory sperm binding protein OS=Homo sapiens OX=9606 PE=2 SV=1;A0A0D9SF54_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=1;A0A0D9SGF6_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS",11,13,13,13,7.9,282.28,46746000,55746000,40077000,47958000,46088000,40956000,Quantified
A2VCT2,OGDH protein (Fragment),OGDH,,A2VCT2;A2VCT3;B4DF00;A0A0D9SFS3;E9PDF2;E9PCR7;Q02218;A0A140VJQ5;B4DZ95;B4E3E9;B4DH65;E9PFG7;B4DK55;C9J4G7;Q9ULD0,"A2VCT2_HUMAN OGDH protein (Fragment) OS=Homo sapiens OX=9606 GN=OGDH PE=2 SV=1;A2VCT3_HUMAN OGDH protein (Fragment) OS=Homo sapiens OX=9606 GN=OGDH PE=2 SV=1;B4DF00_HUMAN cDNA FLJ53308, highly similar to 2-oxoglutarate dehydrogenase E1 component, mitochond",15,3,3,3,9.1,72.22,,17546000,,4191600,5763300,9467600,Quantified
B4DPC0,"cDNA FLJ52713, moderately similar to Mus musculus leucine rich repeat (in FLII) interacting protein 1 (Lrrfip1), mRNA",,,B4DPC0;Q05D04;A0A0F7NGI8;Q32MZ4,"B4DPC0_HUMAN cDNA FLJ52713, moderately similar to Mus musculus leucine rich repeat (in FLII) interacting protein 1 (Lrrfip1), mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;Q05D04_HUMAN LRRFIP1 protein (Fragment) OS=Homo sapiens OX=9606 GN=LRRFIP1 PE=2 SV=1;A0A0F7",4,4,3,3,13.5,44.907,12482000,7164800,12172000,9597200,8876100,9413300,Quantified
A0A1E1ERW3,Diaphanous homolog 1,DIAPH1,,A0A1E1ERW3;A0A2R8Y5N1;A0A140T8Z0;Q6URC4;A0A0G2JH68;O60610;H9KV28;A0RZB8;B4E2I7;A0A2R8YEF8;Q7KZJ7;Q96IL1;B4DVR3,A0A1E1ERW3_HUMAN Diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=2 SV=1;A0A2R8Y5N1_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=1;A0A140T8Z0_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1,13,6,6,6,6.7,133.88,115500000,149490000,110730000,81019000,141860000,18017000,Quantified
B4DQI1,Complement C2,C2,,B4DQI1;A0A0G2JIE7;H0Y3H6;B4DV48;A0A0G2JL69;Q5JP69;Q53HP3;Q53GZ8;A0A1U9X8X9;A0A1U9X8X3;A0A1U9X8W4;P06681;B3KTX9;Q7Z685;E9PDZ0;Q95IG1;A0A0G2JK28;A0A0G2JHM4;H0Y868;A0A0G2JJ82,"B4DQI1_HUMAN Complement C2 OS=Homo sapiens OX=9606 GN=C2 PE=1 SV=1;A0A0G2JIE7_HUMAN Complement C2 OS=Homo sapiens OX=9606 GN=C2 PE=1 SV=1;H0Y3H6_HUMAN Complement C2 (Fragment) OS=Homo sapiens OX=9606 GN=C2 PE=1 SV=1;B4DV48_HUMAN cDNA FLJ55526, highly simil",20,4,1,1,7.1,56.466,30441000,27686000,45012000,39382000,36795000,33731000,Quantified
A8K5I0,Epididymis secretory protein Li 103,HSPA1B,,A8K5I0;A0A1U9X7W4;A0A0G2JIW1;P0DMV9;P0DMV8;B4DI39;B4DWK5;Q59EJ3;B4DFN9;B4DNT8;B4DVU9;B4E1S9;B4E388;V9GZ37;B3KTT5;B4E1T6;B4DNX1;B4DNV4;Q9UQC1,A8K5I0_HUMAN Epididymis secretory protein Li 103 OS=Homo sapiens OX=9606 GN=HSPA1B PE=2 SV=1;A0A1U9X7W4_HUMAN HSPA1A OS=Homo sapiens OX=9606 PE=3 SV=1;A0A0G2JIW1_HUMAN Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1;HS71B_HUMAN Hea,19,15,12,7,27.9,70.051,279740000,260570000,296020000,312720000,250030000,281410000,Quantified
A2ACR0,Proteasome subunit beta type-9 (Fragment),PSMB9,,A2ACR0;A0A0G2JJQ0;A2ACR1;A0A0G2JJA7;A0A1U9X8E3;A0A1U9X8E2;A0A1U9X8D7;P28065,A2ACR0_HUMAN Proteasome subunit beta type-9 (Fragment) OS=Homo sapiens OX=9606 GN=PSMB9 PE=1 SV=1;A0A0G2JJQ0_HUMAN Proteasome subunit beta type-9 (Fragment) OS=Homo sapiens OX=9606 GN=PSMB9 PE=1 SV=1;A2ACR1_HUMAN Proteasome subunit beta OS=Homo sapiens OX=,8,1,1,1,7.6,13.919,639600000,566420000,667780000,638420000,11516000,530300000,Quantified
O19745,HLA G locus protein (Fragment),HLA G locus,,O19745;O19809;R9X0X9;R9WXB4;O19808;O19807;O19806;O19805;Q8WLP2;D2KT86;T1WFE0;Q95HM6;Q6DL89;Q6DL88;Q6DL87;Q6DL86;Q6DL85;Q6B9Y6;Q6B9Y5;Q6B9Y4;Q6B9Y3;Q6B9Y2;Q6B9Y1;Q6B9Y0;Q6B851;Q6B850;Q6B849;Q6B848;Q6B847;Q6B846;Q6B845;Q68YS4;Q68YS3;Q68YS2;Q68YS1;Q68YS0;Q68YR9;Q68YR8;H9C5G5;G0T3C4;B7SFZ3;B7SFZ2;A0A1L2BLQ6;Q95391;Q95370;Q7JFN0;O19768;O19767;O19766;B0L3Q0;B0L3P9;B0L3P8;C7SJ32;A0A291FAL5;O78134;O78133;O78132;O78131;A0A0H4MAB7;A0A0H4MAB3;A0A0H4MAA7;A0A0H4MAA2;A0A0H4MA98;A0A0H4MA94;A0A0H4MA90;A0A0H4MA87;A0A0H4MA83;A0A0H4MA78;A0A0H4MA72;A0A0H4MA67;A0A0H4MA62;A0A0H4MA56;A0A0H4MA45;A0A0H4MA37;A0A0H4MA32;A0A0H4MA26;A0A0H4MA20;A0A0H4MA15;A0A0H4MA11;A0A0H4MA03;A0A0H4M9Z9;A0A0H4M9Z1;A0A0H4M9Y6;A0A0H4M9Y3;A0A0H4M9Y2;A0A0H4M9Y1;A0A0H4M9Y0;A0A0H4M9X9;A0A0H4M9X8;A0A0H4M9X7;A0A0H4M9X6;A0A0H4M9X4;A0A0H4M9W9;A0A0H4M9W5;A0A0H4M9W0;A0A0H4M9V5;A0A0H4M9V1;A0A0H4M9U7;A0A0H4M9U3;A0A0H4LZA3;A0A0H4LZ98;A0A0H4LZ94;A0A0H4LZ89;A0A0H4LZ87;A0A0H4LZ82;A0A0H4LZ77;A0A0H4LZ73;A0A0H4LZ68;A0A0H4LZ65;A0A0H4LZ60;A0A0H4LZ55;A0A0H4LZ50;A0A0H4LZ47;A0A0H4LZ43;A0A0H4LZ38;A0A0H4LZ34;A0A0H4LZ30;A0A0H4LZ25;A0A0H4LZ21;A0A0H4LZ18;A0A0H4LZ10;A0A0H4LZ05;A0A0H4LZ02;A0A0H4LYZ8;A0A0H4LYZ3;A0A0H4LYZ0;A0A0H4LYY6;A0A0H4LYY2;A0A0H4LYX8;A0A0H4LYW9;A0A0H4LYW5;A0A0H4LYW1;A0A0H4LYV8;A0A0H4LYV4;A0A0H4LYU9;A0A0H4LYU5;A0A0H4LYU0;A0A0H4LYT7;A0A0H4LYT4;A0A0H4LXG5;A0A0H4LXG1;A0A0H4LXF7;A0A0H4LXF2;A0A0H4LXE3;A0A0H4LXD9;A0A0H4LXD4;A0A0H4LXD0;A0A0H4LXC4;A0A0H4LXC0;A0A0H4LXB5;A0A0H4LXB0;A0A0H4LXA6;A0A0H4LXA3;A0A0H4LX96;A0A0H4LX93;A0A0H4LX89;A0A0H4LX84;A0A0H4LX80;A0A0H4LX73;A0A0H4LX68;A0A0H4LX64;A0A0H4LX60;A0A0H4LX55;A0A0H4LX50;A0A0H4LX45;A0A0H4LX41;A0A0H4LX39;A0A0H4LX34;A0A0H4LX29;A0A0H4LX25;A0A0H4LX21;A0A0H4LX16;A0A0H4LX13;A0A0H4LX10;A0A0H4LX05;A0A0H4LX00;A0A0H4LWZ5;A0A0H4LWZ2;A0A0H4LWY7;A0A0H4LVU0;A0A0H4LVT5;A0A0H4LVT1;A0A0H4LVS7;A0A0H4LVS3;A0A0H4LVR3;A0A0H4LVQ3;A0A0H4LVP8;A0A0H4LVP5;A0A0H4LVN6;A0A0H4LVN1;A0A0H4LVM3;A0A0H4LVL9;A0A0H4LVL4;A0A0H4LVK4;A0A0H4LVK0;A0A0H4LVJ5;A0A0H4LVJ1;A0A0H4LVI8;A0A0H4LVI3;A0A0H4LVH8;A0A0H4LVH3;A0A0H4LVG8;A0A0H4LVG5;A0A0H4LVG1;A0A0H4LVF7;A0A0H4LVF3;A0A0H4LVE7;A0A0H4LVE3;A0A0H4LVE0;A0A0H4LVD7;A0A0H4LVD3;A0A0H4LVC9;A0A0H4LVC6;A0A0H4LVC2;A0A0H4LVB9;A0A0H4LUC7;A0A0H4LUB8;A0A0H4LUB4;A0A0H4LUA4;A0A0H4LUA0;A0A0H4LU94;A0A0H4LU89;A0A0H4LU84;A0A0H4LU78;A0A0H4LU72;A0A0H4LU66;A0A0H4LU60;A0A0H4LU54;A0A0H4LU49;A0A0H4LU44;A0A0H4LU40;A0A0H4LU38;A0A0H4LU34;A0A0H4LU30;A0A0H4LU25;A0A0H4LU20;A0A0H4LU18;A0A0H4LU14;A0A0H4LU10;A0A0H4LU07;A0A0H4LU02;A0A0H4LTZ9;A0A0H4LTZ3;A0A0H4LTY8;A0A0H4LTY3;A0A0H4LTX5;A0A0H4LTX1;A0A0H4LTW7;A0A0H4LTW4;A0A0H4LTV9;A0A0H4LTV6;A0A0H4LTV2;A0A0H4LTU8;A0A0H4LTU3;A0A0H4LTT9;Q9BCT7;Q95356;Q95347;O19659;O19658;O02929;O02928;O02927;O02926;O02925;O02924;O02923;J7H084;C0JTC7;C0JT30;C0JT29;C0JT28;C0JSV3;C0JSV2;B5LFY2;B5LFY1;B5LFY0;B5LFX8;B1P198;A6YB83;A0A1L2BLQ5;A0A0S2VHB8;A5HSK0;Q9UM45;A0A3G3C0Z1;A0A3G2WH74;A0A3G2LZB3;J3JRT1;A0A1V0E3X1;Q9MYA2;Q8WLS1;Q8MH48;Q8MH47;Q8MGQ7;Q6UV35;Q6DU14;Q6DU08;E5DHS1;Q30182;Q5RJ85;A0A0G2JPQ3;P17693,O19745_HUMAN HLA G locus protein (Fragment) OS=Homo sapiens OX=9606 GN=HLA G locus PE=3 SV=1;O19809_HUMAN MHC class I antigen (Fragment) OS=Homo sapiens OX=9606 GN=HLA-G PE=3 SV=1;R9X0X9_HUMAN MHC class I antigen heavy chain a2 domain (Fragment) OS=Homo sa,302,1,1,1,16.7,8.8767,993060,,,1512800,,4442600,Quantified
S6CQQ4,MHC class II antigen (Fragment),HLA-DQB1,,S6CQQ4;S6CQ92;S6CPU9;I4EPE0;I4EPD9;I4EPD8;F8LFS0;F8LFR9;F8LFR8;F1CK20;A0A5H2UZY7;A0A5A4M2K7;A0A513WWL9;A0A4V0NPC2;A0A4V0NPC1;A0A4V0NPC0;A0A4P2SUV3;A0A4P2SUD6;A0A4P2ST99;A0A4P2SSQ5;A0A4P2SSD4;A0A493QPC4;A0A455JXF8;A0A455JWL6;A0A455JWJ6;A0A455JWI4;A0A455JWD2;A0A455JUJ6;A0A3S6RJD4;A0A3S6RH96;A0A3S6RH79;A0A3S6RH78;A0A3S6RH69;A0A3S6RH56;A0A3S6RH27;A0A3S4DEZ9;A0A217ECR3;A0A1D8MAK0;A0A4Y5FSU9;A0A5H2UZX4;A0A5H2UZS2;A0A5H2UZP7;A0A5H2UWW5;A0A5H2UTQ6;A0A5H2UTP5;A0A5H2UTN8;A0A5H2UTL3;A0A5H2UT24;A0A5H2USX4;A0A5H2URT3;A0A5H2UGR1;A0A5H2UGH6;A0A5H2UGG7;A0A5H2UG14;A0A5H2UFZ1;A0A5H2UFV5;A0A5H2UDZ8;A0A5H2UDX2;A0A5H2UD52;A0A5A4M2P9;A0A5A4M2L9;A0A5A4M112;A0A218N062;A0A1W2HC37;A0A0S2C3G8;A0A146BID5;A0A140T9T0;A0A5J6CZD1;A0A2K4N862;Q30074;A0A5H2V011;A0A5H2UXG0;A0A5H2UTX8;A0A5H2US38;A0A5H2US05;A0A5H2UGR9;A0A5H2UGB5;A0A5H2UE70;A0A0G4PYW5;Q67AL7;Q67AL6;B4DHT2;A0A3G1YZN7;A0A173ADI5;U3PXW0;Q30099;A0A5B8JPD0;A0A0U5PUF3;A0A0U5IHY9;A0A3S8TKN4;A0A1L5LC40;A0A5J6WHR0;A0A5J6WET4;A0A4Y5ULI1;A0A140T9S8;Q29916;A0A140T9L5;A0A1W1B6K4;A0A140T9H9;A0A182ATZ1;A0A0G4PZ00,S6CQQ4_HUMAN MHC class II antigen (Fragment) OS=Homo sapiens OX=9606 GN=HLA-DQB1 PE=3 SV=1;S6CQ92_HUMAN MHC class II antigen (Fragment) OS=Homo sapiens OX=9606 GN=HLA-DQB1 PE=3 SV=1;S6CPU9_HUMAN MHC class II antigen (Fragment) OS=Homo sapiens OX=9606 GN=HL,101,2,1,1,13.7,21.368,31677000,30914000,34972000,29415000,32593000,22918000,Quantified
A0A0J9YYL3,Poly(U)-binding-splicing factor PUF60 (Fragment),PUF60,,A0A0J9YYL3;A0A0J9YVP6;A0A0J9YXJ8;A0A0J9YXX5;Q9UHX1;E9PMU7;E9PN18;A0A0J9YVR6;E9PQ56;E9PL19;A0A0J9YWM1;H0YEM1,A0A0J9YYL3_HUMAN Poly(U)-binding-splicing factor PUF60 (Fragment) OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1;A0A0J9YVP6_HUMAN Poly(U)-binding-splicing factor PUF60 (Fragment) OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1;A0A0J9YXJ8_HUMAN Poly(U)-binding-splic,12,5,5,5,14.5,54.626,4631400,4295900,,,3857400,,Quantified
